IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,PROBA,EXISTE
A10F517225,56204701,0.19986221,13,0,4,-0.10638298,9,8,0,"0,6367",11,10.0,10.0,56204701,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6367",
A12F095107,56590954,0.4529612,13,1,5,1.2368422,7,6,0,"0,6367",11,9.0,9.0,56590954,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6367",
A06F268243,56224117,0.2110643,13,0,5,-0.03960396,13,11,0,636,11,13.0,13.0,56224117,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,636",
A09F278832,55966284,0.17068811,13,0,6,-0.11875,10,6,0,636,11,20.0,20.0,55966284,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,636",
A05F105066,56198132,0.1843425,13,0,4,-0.20967741,14,11,0,"0,6353",11,13.0,13.0,56198132,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6353",
A04S123732,56173091,0.091905236,13,0,4,-0.07317073,15,11,0,635,11,10.0,10.0,56173091,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,635",
A06F402245,56043821,0.17963548,13,0,3,0.08219178,13,11,0,635,11,9.0,9.0,56043821,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,635",
A02S754806,56167172,0.14212038,13,0,2,0.26086956,17,11,0,"0,6343",11,10.0,9.0,56167172,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6343",
A04L274281,56117035,0.15293872,13,0,6,-0.17283951,15,11,0,634,11,18.0,18.0,56117035,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,634",
A04S262638,56184115,0.12711526,13,0,4,0.09589041,15,8,0,634,11,9.0,9.0,56184115,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,634",
A08F352508,56219121,0.116299465,13,0,4,0.07575758,11,11,0,634,11,9.0,9.0,56219121,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,634",
A11F313221,55953158,0.12643456,13,0,6,-0.06097561,8,7,0,634,11,10.0,10.0,55953158,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,634",
A12F032749,56616724,0.14757104,13,0,8,-0.054945055,7,7,0,634,11,10.0,10.0,56616724,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,634",
A12F094370,56619014,0.12903437,13,0,4,-0.16049382,7,7,0,634,11,9.0,9.0,56619014,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,634",
A05F066534,56112939,0.13348779,13,0,6,8,14,11,0,"0,6333",11,15.0,15.0,56112939,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6333",
A12F285182,56190697,0.19770207,13,0,4,0.43678162,7,6,0,"0,6333",11,15.0,15.0,56190697,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6333",
A03S023552,56190387,0.21434681,13,0,5,0.3472222,16,9,0,633,11,10.0,10.0,56190387,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,633",
A04S068027,56354738,0.23642959,13,3,4,0.46875,15,8,0,633,11,9.0,9.0,56354738,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,633",
A07S040878,56115750,0.114542365,13,0,6,0.12820514,12,8,0,633,11,10.0,10.0,56115750,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,633",
A08F353937,56117000,0.094645314,13,0,5,-0.07258064,11,11,0,633,11,15.0,15.0,56117000,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,633",
A10F556129,56541023,0.111909166,13,0,1,-0.15652174,9,8,0,633,11,13.0,13.0,56541023,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,633",
A08F352450,56170157,0.3282329,13,0,7,0.6764706,11,11,0,"0,6323",11,14.0,14.0,56170157,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6323",
A08F466534,56286821,0.14594701,13,0,12,-0.21374045,11,11,0,"0,6323",11,15.0,15.0,56286821,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,ALTO,EM USO,1,1,"0,6323",
A09F171272,56117361,0.17816316,13,0,5,0.1375,10,8,0,"0,6323",11,10.0,10.0,56117361,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,6323",
A12F095069,56171277,0.16471684,13,0,11,0.40677965,7,6,0,"0,6323",11,18.0,18.0,56171277,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6323",
A04S322825,56158971,0.14705487,13,0,4,0.14285715,15,8,0,"0,6313",11,9.0,9.0,56158971,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6313",
A08F231799,56167512,0.13271786,13,0,3,-0.06410257,11,9,0,"0,6313",11,10.0,10.0,56167512,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6313",
A10F252630,56547110,0.22388656,13,0,14,-0.265625,9,9,0,"0,6313",11,13.0,13.0,56547110,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,6313",
A12F094971,56169280,0.4465863,13,1,4,1.1791044,7,6,0,"0,6313",11,10.0,10.0,56169280,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6313",
A04L390523,56188439,0.17588055,13,0,3,-0.15189873,15,10,0,631,11,10.0,10.0,56188439,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,631",
A04S050257,55953808,0.11848289,13,0,7,-0.114503816,15,11,0,631,11,15.0,15.0,55953808,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,631",
A08F359506,56220324,0.23288828,13,0,4,0.36764705,11,11,0,631,11,10.0,10.0,56220324,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,631",
A09F027130,56459980,0.111184135,13,0,3,-0.025477707,10,10,0,631,11,20.0,20.0,56459980,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,631",
A11F219789,56053150,0.1609621,13,0,3,-0.09859155,8,7,0,631,11,9.0,9.0,56053150,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,631",
