ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43345947,9040064,GERADO PELO MODELO
43415845,5935857,GERADO PELO MODELO
43415836,5905893,GERADO PELO MODELO
43393467,14385040,GERADO PELA UNIDADE
43415748,3295281,GERADO PELO MODELO
43393772,3295486,GERADO PELA UNIDADE
43393670,3295206,GERADO PELA UNIDADE
43393595,3295443,GERADO PELA UNIDADE
43415759,4022904,GERADO PELO MODELO
43393553,4072219,GERADO PELA UNIDADE
43393678,3857859,GERADO PELA UNIDADE
43393654,4072260,GERADO PELA UNIDADE
43415806,5559677,GERADO PELO MODELO
43393598,7218842,GERADO PELA UNIDADE
43393527,7218702,GERADO PELA UNIDADE
43415921,7219180,GERADO PELO MODELO
43415923,7219687,GERADO PELO MODELO
43415922,7219660,GERADO PELO MODELO
43393637,7219504,GERADO PELA UNIDADE
43393429,7219954,GERADO PELA UNIDADE
43415924,7220260,GERADO PELO MODELO
43393518,7220332,GERADO PELA UNIDADE
43393628,7220820,GERADO PELA UNIDADE
43345935,8591725,GERADO PELO MODELO
43393450,7880499,GERADO PELA UNIDADE
43415779,4465270,GERADO PELO MODELO
43393792,4465318,GERADO PELA UNIDADE
43393816,4465423,GERADO PELA UNIDADE
43415781,4465873,GERADO PELO MODELO
43415780,4465687,GERADO PELO MODELO
43415747,3202054,GERADO PELO MODELO
43415746,3202003,GERADO PELO MODELO
43393433,3202151,GERADO PELA UNIDADE
43415807,5578329,GERADO PELO MODELO
43345954,9861866,GERADO PELO MODELO
43345915,8024847,GERADO PELO MODELO
43393804,8024871,GERADO PELA UNIDADE
43393788,5113733,GERADO PELA UNIDADE
43393620,2321122,GERADO PELA UNIDADE
43415769,4457277,GERADO PELO MODELO
43393421,7886187,GERADO PELA UNIDADE
43415773,4459520,GERADO PELO MODELO
43393456,2314800,GERADO PELA UNIDADE
43415842,5927722,GERADO PELO MODELO
43393661,2573350,GERADO PELA UNIDADE
43393488,6556140,GERADO PELA UNIDADE
43393720,6556132,GERADO PELA UNIDADE
43393717,6556515,GERADO PELA UNIDADE
43415904,6556582,GERADO PELO MODELO
43393609,6556744,GERADO PELA UNIDADE
43393587,6556787,GERADO PELA UNIDADE
43393686,6556949,GERADO PELA UNIDADE
43415906,6557619,GERADO PELO MODELO
43415905,6557481,GERADO PELO MODELO
43393577,6557333,GERADO PELA UNIDADE
43415895,6371183,GERADO PELO MODELO
43415821,5863902,GERADO PELO MODELO
43345897,7821220,GERADO PELO MODELO
43345966,10614176,GERADO PELO MODELO
43393482,6310117,GERADO PELA UNIDADE
43345965,10571639,GERADO PELO MODELO
43393727,7823134,GERADO PELA UNIDADE
43393454,8083452,GERADO PELA UNIDADE
43393606,2711745,GERADO PELA UNIDADE
43415853,5961548,GERADO PELO MODELO
43415852,5961440,GERADO PELO MODELO
43393830,8264783,GERADO PELA UNIDADE
43393769,5425336,GERADO PELA UNIDADE
43393677,11725346,GERADO PELA UNIDADE
43415708,2119676,GERADO PELO MODELO
43415716,2123983,GERADO PELO MODELO
43415713,2123029,GERADO PELO MODELO
43393764,2125188,GERADO PELA UNIDADE
43415846,5937574,GERADO PELO MODELO
43393728,2114623,GERADO PELA UNIDADE
43393650,2126265,GERADO PELA UNIDADE
43415887,6146171,GERADO PELO MODELO
43415865,6063047,GERADO PELO MODELO
43415835,5902339,GERADO PELO MODELO
43415709,2120020,GERADO PELO MODELO
43393560,2125765,GERADO PELA UNIDADE
43415711,2120852,GERADO PELO MODELO
43415707,2117983,GERADO PELO MODELO
43393489,2121816,GERADO PELA UNIDADE
43415878,6134416,GERADO PELO MODELO
43415861,5996597,GERADO PELO MODELO
43415859,5995973,GERADO PELO MODELO
43415712,2122928,GERADO PELO MODELO
43415710,2120763,GERADO PELO MODELO
43345996,14393034,GERADO PELO MODELO
43345958,10246169,GERADO PELO MODELO
43393484,2120160,GERADO PELA UNIDADE
43393636,14077469,GERADO PELA UNIDADE
43415941,9105638,GERADO PELO MODELO
43415804,5322928,GERADO PELO MODELO
43415720,2328844,GERADO PELO MODELO
43393825,2329000,GERADO PELA UNIDADE
43393638,2328860,GERADO PELA UNIDADE
43393493,2124726,GERADO PELA UNIDADE
43415820,5863104,GERADO PELO MODELO
43393828,2123401,GERADO PELA UNIDADE
43393699,2841401,GERADO PELA UNIDADE
43393782,2122529,GERADO PELA UNIDADE
43415903,6390773,GERADO PELO MODELO
43415721,2329964,GERADO PELO MODELO
43393789,2845334,GERADO PELA UNIDADE
43393689,2330032,GERADO PELA UNIDADE
43345983,14354837,GERADO PELO MODELO
43393430,2120534,GERADO PELA UNIDADE
43393810,2122570,GERADO PELA UNIDADE
43393724,2113813,GERADO PELA UNIDADE
43415837,5912822,GERADO PELO MODELO
43415706,2115972,GERADO PELO MODELO
